species,treatment,host,total_BSG_clusters,Terpene,NRPS,NRPS-like,T1PKS,indole,sideraphore,NRPS/T1PKS,fungal-RiPP,NRPS-like/siderophore,NRPS-like/Terpene,NRPS-like/T1PKS,terpene/T1PKS,betalactone
A_muscaria,O,O,23,17,0,2,2,1,1,0,0,0,0,0,0,0
C_anzutake,O,O,12,6,1,5,0,0,0,0,0,0,0,0,0,0
G_lividus,O,O,22,8,2,7,3,0,0,2,0,0,0,0,0,0
G_morchelliformis,O,O,52,28,2,14,3,3,2,0,0,0,0,0,0,0
H_cylandrosporum,O,O,23,12,1,6,2,0,1,0,1,0,0,0,0,0
H_rufescens,O,O,5,2,1,2,0,0,0,0,0,0,0,0,0,0
H_stoloniferum,O,O,37,22,1,8,3,1,0,0,0,1,0,1,0,0
L_amethystina,O,O,19,11,2,2,2,1,1,0,0,0,0,0,0,0
L_bicolor,O,O,21,13,0,4,2,1,1,0,0,0,0,0,0,0
P_croceum,O,O,29,8,2,9,5,3,0,0,0,0,2,0,0,0
P_involutus,O,O,34,13,3,9,4,0,0,0,0,2,3,0,0,0
P_microcarpus,O,O,16,8,1,5,0,0,0,1,0,0,1,0,0,0
P_tinctorius,O,O,21,12,1,6,1,0,0,0,1,0,0,0,0,0
R_brevipes,O,O,14,9,0,2,1,0,2,0,0,0,0,0,0,0
R_compacta,O,O,17,11,1,2,1,0,2,0,0,0,0,0,0,0
R_salebrosus,O,O,20,12,0,6,1,0,0,0,0,0,1,0,0,0
R_trucatus,O,O,20,12,0,6,1,0,0,0,0,0,1,0,0,0
R_vesiculosus,O,O,34,22,1,9,2,0,0,0,0,0,0,0,0,0
R_vinicolor,O,O,45,22,1,20,1,0,0,0,1,0,0,0,0,0
R_vulgaris,O,O,26,16,1,7,1,0,0,0,0,0,1,0,0,0
S_americanus,S,W,38,25,1,9,2,0,0,0,0,0,1,0,0,0
S_ampliporus,S,L,33,19,1,11,1,0,0,0,0,0,1,0,0,0
S_bovinus,S,R,32,18,1,11,2,0,0,0,0,0,0,0,0,0
S_brevipes,S,R,29,17,1,9,2,0,0,0,0,0,0,0,0,0
S_clintonianus,S,L,44,22,1,14,5,0,0,0,0,0,1,1,0,0
S_cothurnatus,S,R,53,38,1,12,2,0,0,0,0,0,0,0,0,0
S_decipiens,S,R,36,19,1,14,2,0,0,0,0,0,0,0,0,0
S_fuscotomentosus,S,R,46,28,1,14,1,0,0,0,0,0,1,0,1,0
S_granulatus,S,G,31,17,1,10,3,0,0,0,0,0,0,0,0,0
S_hirtellus,S,R,43,23,1,14,1,0,0,0,0,0,3,0,1,0
S_lakei,S,P,48,30,1,13,3,0,0,0,0,0,0,1,0,0
S_luteus,S,R,23,13,1,7,2,0,0,0,0,0,0,0,0,0
S_occidentalis,S,R,26,15,1,8,2,0,0,0,0,0,0,0,0,0
S_paluster,S,L,22,11,1,7,2,0,0,0,0,0,1,0,0,0
S_pictus,S,W,41,20,1,18,2,0,0,0,0,0,0,0,0,0
S_placedus,S,W,35,19,1,11,4,0,0,0,0,0,0,0,0,0
S_subalutaceus,S,R,47,30,1,15,1,0,0,0,0,0,0,0,0,0
S_subaureus,S,G,39,22,1,15,1,0,0,0,0,0,0,0,0,0
S_tomentosus,S,R,46,29,1,11,1,0,0,0,0,0,3,0,1,0
S_variegatus,S,R,45,31,1,10,1,0,0,0,0,0,2,0,0,0
T_ganbajun,O,O,25,9,3,5,4,1,0,1,0,0,0,1,0,1
T_terestris,O,O,22,10,1,5,2,1,0,2,0,0,0,0,0,1
S_citrinum,O,O,16,6,1,5,2,0,0,1,0,0,1,0,0,0
S_discolor,S,W,43,24,1,14,1,0,0,0,0,0,2,0,1,0
S_subluteus,S,W,58,38,1,17,2,0,0,0,0,0,0,0,0,0
S_plorans,S,W,38,21,1,12,2,0,0,0,0,0,2,0,0,0